City_ID,City,Country,Lat,Lng,Max Temp,Cloudiness,Humidity,Wind Speed,Current Description
297,Bonfim,BR,3.0833,-59.95,81.88,96,73,4.03,overcast clouds
298,Dingle,PH,10.9995,122.6711,76.73,93,92,9.51,overcast clouds
299,Uvira,CD,-3.4067,29.1458,79.12,94,65,2.17,overcast clouds
300,Airai,TL,-8.9266,125.4092,60.84,100,69,1.25,overcast clouds
301,Palu,ID,-0.8917,119.8707,76.15,100,93,2.44,heavy intensity rain
302,Te Anau,NZ,-45.4167,167.7167,40.69,100,98,2.39,moderate rain
303,Udachnyy,RU,66.4167,112.4,22.66,100,91,18.61,overcast clouds
304,Klaksvik,FO,62.2266,-6.589,41.92,100,70,18.92,overcast clouds
305,Warmbad,NA,-28.45,18.7333,72.07,6,12,9.46,clear sky
306,Deputatskiy,RU,69.3,139.9,19.11,100,85,3.74,overcast clouds
307,Sabha,LY,27.0377,14.4283,78.49,0,13,12.06,clear sky
308,Neiafu,TO,-18.65,-173.9833,74.08,75,88,3.44,broken clouds
309,Hambantota,LK,6.1241,81.1185,79.14,0,100,6.91,clear sky
310,Nemuro,JP,43.3236,145.575,63.52,100,89,32.77,moderate rain
311,Mujiayingzi,CN,42.1167,118.7833,39.6,0,46,6.64,clear sky
312,Iqaluit,CA,63.7506,-68.5145,40.73,40,70,2.3,scattered clouds
313,Ryotsu,JP,38.0833,138.4333,72.16,5,86,11.97,clear sky
314,Bykovo,RU,55.6361,38.0803,45.41,19,100,0.0,mist
315,Ostrovnoy,RU,68.0531,39.5131,42.62,100,94,3.13,overcast clouds
316,Xinyu,CN,27.8043,114.9334,67.42,100,76,9.24,overcast clouds
317,Petatlan,MX,17.5167,-101.2667,85.87,4,74,9.75,clear sky
318,Ukiah,US,39.1502,-123.2078,84.13,1,32,0.0,clear sky
319,Sambava,MG,-14.2667,50.1667,68.76,44,80,10.45,scattered clouds
320,Rincon,US,32.296,-81.2354,85.86,40,65,1.01,scattered clouds
321,Saint-Francois,FR,46.4154,3.9054,47.68,3,95,3.44,mist
322,Cururupu,BR,-1.8283,-44.8683,79.83,29,78,4.88,scattered clouds
323,Bergen,NO,60.392,5.328,51.08,75,90,6.91,shower rain
324,George,ZA,-33.963,22.4617,51.35,0,93,3.44,clear sky
325,Naze,JP,28.3667,129.4833,76.87,65,87,16.31,broken clouds
326,Amahai,ID,-3.3333,128.9167,78.33,100,86,3.2,overcast clouds
327,High Prairie,CA,55.4334,-116.4858,45.7,75,29,14.54,broken clouds
328,Pacific Grove,US,36.6177,-121.9166,83.57,1,73,5.99,clear sky
329,Grindavik,IS,63.8424,-22.4338,40.95,75,93,3.44,light intensity drizzle
330,Rio Cuarto,AR,-33.1307,-64.3499,64.17,75,68,14.97,light rain
331,Constitucion,CL,-35.3333,-72.4167,60.98,0,60,14.79,clear sky
332,Uarini,BR,-2.99,-65.1083,96.75,62,59,4.72,broken clouds
333,Nuqui,CO,5.7125,-77.2708,80.1,100,83,10.4,overcast clouds
334,Lasa,IT,46.6166,10.7002,49.08,2,81,7.78,clear sky
335,Bubaque,GW,11.2833,-15.8333,82.69,100,77,9.06,overcast clouds
336,Guarapari,BR,-20.6667,-40.4975,69.69,100,95,9.62,overcast clouds
337,Ambon,ID,-3.6954,128.1814,77.14,20,88,5.75,few clouds
338,Woodhaven,US,42.1389,-83.2416,82.78,75,68,10.36,broken clouds
339,Fortuna,US,40.5982,-124.1573,68.41,86,66,5.01,overcast clouds
340,Ekhabi,RU,53.5102,142.9671,46.04,100,99,8.84,light rain
341,Provideniya,RU,64.3833,-173.3,32.11,75,80,4.47,light snow
342,Honningsvag,NO,70.9821,25.9704,42.55,0,93,14.97,clear sky
343,Macara,EC,-4.3833,-79.95,85.51,57,48,6.62,light rain
344,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,100,88,10.11,overcast clouds
345,Werdau,DE,50.7333,12.3833,43.9,73,20,10.0,broken clouds
